"W1","2021-09-06 to 2021-09-10"
"W2","2021-09-13 to 2021-09-17"
"W3","2021-09-20 to 2021-09-24"
"W4","2021-09-27 to 2021-10-01"
"W5","2021-10-04 to 2021-10-08"
"W6","2021-10-11 to 2021-10-15"
"W7","2021-10-18 to 2021-10-22"
"W8","2021-10-25 to 2021-10-29"
"W9","2021-11-01 to 2021-11-05"
"W10","2021-11-08 to 2021-11-12"
"W11","2021-11-15 to 2021-11-19"
"W12","2021-11-22 to 2021-11-26"
"W13","2021-11-29 to 2021-12-03"
"W14","2021-12-06 to 2021-12-10"
"W15","2021-12-13 to 2021-12-17"
